Name,Year,Self,Post,RDA,PSA,CSA,PatRD,CitPat,Q,RDInt,Process,Leverage,Capint,Inter,ROA,Industry
アサヒペン,1998,0.25,0.333333333,NA,4.54787e-4,0.0015371,NA,3.379821696,NA,NA,0.884477765,0.523386506,NA,NA,0.0175757,Chemical
アサヒペン,1999,0,0.2,NA,4.51139e-4,0.001748058,NA,3.874764372,0.642218915,NA,0.856363946,0.548261363,NA,NA,0.036123132,Chemical
アサヒペン,2000,0,0.3,0.012388213,4.71505e-4,0.001991938,0.038060791,4.224636182,0.412937047,0.005208815,0.764355086,0.54973822,29.66526316,NA,0.034606053,Chemical
アサヒペン,2001,NA,NA,0.025130293,4.16024e-4,0.001429322,0.016554695,3.435670196,0.363263119,0.005545769,0.570625319,0.556498585,28.20620843,NA,0.012680979,Chemical
アサヒペン,2002,NA,NA,0.035784694,3.73022e-4,0.001004487,0.010424061,2.69283826,0.110901612,0.005656749,0.463622423,0.543019337,27.42093023,NA,0.019975164,Chemical
アサヒペン,2003,0.5,0.5,0.049772395999999997,3.32785e-4,8.40325e-4,0.006686133,2.525129178,0.175953737,0.008935251,0.380984836,0.531163536,27.04146341,NA,0.02584826,Chemical
アサヒペン,2004,0,0.8,0.061046361,3.78806e-4,9.52564e-4,0.006205213,2.514651738,0.264013605,0.010155689,0.359516102,0.501766919,29.29639889,NA,0.025914808,Chemical
アサヒペン,2005,0,1,0.071742593,3.34893e-4,8.01561e-4,0.004667977,2.393484359,0.473613509,0.011220802,0.524791276,0.444330645,29.77809798,NA,-0.068365126,Chemical
アサヒペン,2006,NA,NA,0.081316258,2.2265e-4,5.32908e-4,0.00273807,2.393484359,0.177434978,0.012972723,0.558868632,0.441626511,30.48961424,NA,0.0211345,Chemical
アサヒペン,2007,0,0.666666667,0.114089721,2.90175e-4,0.00114815,0.002543393,3.956749478,0.250579341,0.011931091,0.392230363,0.520285622,26.33846154,NA,-0.032271526,Chemical
アサヒペン,2008,NA,NA,0.124999189,1.93758e-4,7.66653e-4,0.001550075,3.956749478,0.003325905,0.01373225,0.306525814,0.491415268,23.94720497,NA,0.02332913,Chemical
アサヒペン,2009,NA,NA,0.141516314,3.31444e-4,5.28625e-4,0.002342093,1.59491318,NA,0.015564665,0.247912762,0.477709591,23.69836066,NA,0.014606685,Chemical
アサヒペン,2010,NA,NA,0.149541993,3.16761e-4,3.5063e-4,0.002118205,1.106923855,NA,0.014786087,0.256432101,0.46452961,24.42413793,NA,0.022372847,Chemical
アサヒペン,2011,NA,NA,0.160170102,3.13951e-4,2.39348e-4,0.001960112,0.762373666,NA,0.015805552,0.296302607,0.463767375,26.77617329,NA,0.019163941,Chemical
アサヒペン,2012,NA,NA,0.159434884,2.00532e-4,1.52881e-4,0.001257769,0.762373666,NA,0.015881384,0.282501278,0.419371728,26.52075472,NA,0.027225131,Chemical
アサヒペン,2013,NA,NA,0.163839774,1.34165e-4,1.02284e-4,8.18877e-4,0.762373666,7.12828e-4,0.01627409,0.27909354199999997,0.408404604,26.64728682,NA,0.030250238,Chemical
アサヒペン,2014,NA,NA,0.168101229,9.01e-5,6.87e-5,5.35737e-4,0.762373666,0.04916774,0.016239316,0.290679843,0.393911736,27.04724409,NA,0.026414689,Chemical
アサヒペン,2015,NA,NA,0.168966071,5.96e-5,4.55e-5,3.52868e-4,0.762373666,0.051965701,0.016496523,0.342988584,0.372015698,28.60728745,NA,0.020821978,Chemical
アサヒペン,2016,NA,NA,0.17520315,4.08e-5,3.11e-5,2.32918e-4,0.762373666,0.068362208,0.015988062,0.299880729,0.387577306,28.95,NA,0.036246303,Chemical
アイカ工業,1998,0.555555556,0.222222222,0.027711187,8.83e-6,6.73e-6,3.1855e-4,0.762373666,0.16018008,0.014214194,0.559745249,0.450252663,14.34786118,0.008402623,0.05333126,Chemical
アイカ工業,1999,0.571428571,0.214285714,0.0510612,5.88e-6,4.48e-6,1.15078e-4,0.762373666,0.456253947,0.014369973,0.555701577,0.441917102,14.26623377,0.00847185,0.047427992,Chemical
アイカ工業,2000,0.391304348,0.130434783,0.069182077,3.73e-6,2.85e-6,5.4e-5,0.762373666,0.535620192,0.014101618,0.501920744,0.429592216,13.66666667,0.012597446,0.083755478,Chemical
アイカ工業,2001,0.342105263,0.289473684,0.084917233,4.42272e-4,0.001235369,0.005208269,2.793235371,0.720871968,0.014217153,0.684694703,0.43514004,16.15101156,0.012785117,0.096673709,Chemical
アイカ工業,2002,0.338235294,0.308823529,0.108774913,4.04213e-4,0.001129853,0.003716053,2.795190794,0.633212747,0.018759928,0.563485645,0.36010104,13.69322459,0.015683704,0.083548728,Chemical
アイカ工業,2003,0.568965517,0.206896552,0.13259238,4.74557e-4,0.001277057,0.003579066,2.691052547,1.092356317,0.019578805,0.498483623,0.349314271,13.39825218,0.021072316,0.105305302,Chemical
アイカ工業,2004,0.5,0.238095238,0.14976467,7.43099e-4,0.001628132,0.004961777,2.191003352,1.166291341,0.020333405,0.678022645,0.355781756,15.17045455,0.030669176,0.124914392,Chemical
アイカ工業,2005,0.456521739,0.260869565,0.157481941,9.76085e-4,0.002415181,0.006198073,2.474356162,1.380948486,0.020501622,0.671148403,0.32625118,15.18266254,NA,0.127441479,Chemical
アイカ工業,2006,0.405405405,0.378378378,0.16518006,0.001053298,0.002721337,0.006376667,2.583634383,1.275605077,0.020645482,0.992317024,0.311627111,17.21890244,NA,0.11956869,Chemical
アイカ工業,2007,0.518518519,0.37037037,0.172700775,0.001082823,0.002473029,0.006269935,2.283872623,0.470340497,0.020320038,1.03214719,0.283846614,17.28130564,NA,0.118814621,Chemical
アイカ工業,2008,0.279069767,0.23255814,0.182589942,0.001140375,0.002543262,0.006245551,2.230198659,0.359673963,0.021170195,0.893337377,0.242205772,17.64491476,NA,0.105361157,Chemical
アイカ工業,2009,0.375,0.166666667,0.198397346,0.001412231,0.002438616,0.007118194,1.726782576,0.308954945,0.021926971,0.756950763,0.22353848,16.5374072,NA,0.072643187,Chemical
アイカ工業,2010,0.384615385,0.461538462,0.195587004,0.001254994,0.002042148,0.006416552,1.627216996,0.221728729,0.021732688,0.889798807,0.230471063,16.11594203,NA,0.085231398,Chemical
アイカ工業,2011,0.666666667,0,0.193186835,0.001294978,0.002163929,0.00670324,1.671016754,0.236089253,0.020018831,0.873622485,0.237885416,15.329806,NA,0.09717027,Chemical
アイカ工業,2012,0.888888889,0.333333333,0.191915089,0.001233996,0.0018736410000000001,0.006429905,1.518352851,0.482377838,0.019753658,0.962895562,0.260250299,14.68996798,NA,0.10231366,Chemical
アイカ工業,2013,0,0,0.194765197,0.001054517,0.001448125,0.005414297,1.373259838,1.110259642,0.01985141,1.129814983,0.287466157,14.59314845,NA,0.105950495,Chemical
アイカ工業,2014,NA,NA,0.181829788,8.41195e-4,9.63277e-4,0.004626276,1.145129782,1.218029616,0.015209503,1.313315135,0.283904349,15.6286085,0.291772977,0.111886626,Chemical
アイカ工業,2015,1,0,0.16638971,8.50987e-4,8.13222e-4,0.005114423,0.955621182,0.864776344,0.016378969,1.557577596,0.270642171,16.58846787,0.332550072,0.117442201,Chemical
アイカ工業,2016,NA,NA,0.16549566,8.17968e-4,6.5456e-4,0.004942533,0.800226866,1.182580693,0.017306295,1.513294915,0.266779201,15.14573317,0.332204903,0.10657351,Chemical
クラレ,1998,0.258741259,0.293706294,NA,3.66722e-4,2.47139e-4,NA,0.673915333,1.631661174,NA,1.977854371,0.507903128,33.43155334,0.23062452,0.050283903,Chemical
クラレ,1999,0.405925926,0.21333333300000001,0.051683724,3.07597e-4,1.61776e-4,0.005951524,0.525935208,1.22843764,0.039909054,1.886980511,0.466630464,40.73296204,0.27784465,0.04885346,Chemical
クラレ,2000,0.370087336,0.18558952,0.086031333,2.05806e-4,1.00789e-4,0.002392225,0.489728645,1.169245224,0.038224773,1.813557417,0.437979141,39.07883762,0.25973632,0.026553995,Chemical
クラレ,2001,0.28125,0.21875,0.118797862,1.46614e-4,6.67e-5,0.001234148,0.455025904,0.790320163,0.039056273,1.625462312,0.435053924,38.31273698,0.275227164,0.015218185,Chemical
クラレ,2002,0.349258649,0.441515651,0.166759514,1.18146e-4,5.03e-5,7.0848e-4,0.425345476,0.804702724,0.039658538,1.381338879,0.40361405,40.61236824,0.301882228,0.012719749,Chemical
クラレ,2003,0.299578059,0.364978903,0.201893188,8.48e-5,3.44e-5,4.19888e-4,0.405796515,0.91353485,0.038825138,0.837277275,0.32690758,34.53086066,0.384487308,0.033667857,Chemical
クラレ,2004,0.341772152,0.313291139,0.224825768,0.002228329,0.009089999,0.009911359,4.079289727,0.815017997,0.041195367,0.82846383,0.273104129,35.76893491,0.412908062,0.056854949,Chemical
クラレ,2005,0.214092141,0.287262873,0.24894738,0.00212994,0.008650735,0.008555785,4.061491998,1.233310268,0.039095566,0.858816255,0.307196553,39.40208123,0.423012111,0.065602057,Chemical
クラレ,2006,0.28,0.163636364,0.25009047,0.00202965,0.008599574,0.008115665,4.236973266,1.255717415,0.037507465,0.974132989,0.290582665,41.02440807,0.434695205,0.071385687,Chemical
クラレ,2007,0.379661017,0.13220339,0.255755421,0.00187913,0.007742013,0.007347372,4.119998334,1.112236992,0.033795849,0.914316227,0.2950713,42.67821491,0.43280022,0.069947749,Chemical
クラレ,2008,0.367952522,0.198813056,0.290650409,0.002011945,0.007707921,0.006922217,3.831078665,0.389664326,0.036518112,0.761193862,0.296780969,43.43914328,0.478392054,0.080631774,Chemical
クラレ,2009,0.373563218,0.114942529,0.326332698,0.001921653,0.007157529,0.005888631,3.724673089,0.830792223,0.043415601,0.741655893,0.311220792,39.42792596,0.489281458,0.041373333,Chemical
クラレ,2010,0.509960159,0.091633466,0.331071854,0.001605023,0.005803085,0.004847961,3.615576676,0.832623879,0.045938476,0.764307796,0.328144546,38.23363499,0.478755107,0.045905552,Chemical
クラレ,2011,0.534482759,0.132183908,0.334402498,0.001435127,0.005058231,0.004291616,3.52458728,0.512504235,0.043423433,0.403867124,0.316367321,30.06311125,0.499365348,0.090464157,Chemical
クラレ,2012,0.539215686,0.166666667,0.331402289,0.001237104,0.004173505,0.003732937,3.373609074,0.582612588,0.043834948,0.981192738,0.299919541,37.50929752,0.482512365,0.096950389,Chemical
クラレ,2013,0.462962963,0.148148148,0.349859156,0.001185962,0.00396716,0.003389826,3.345100169,0.806260051,0.044473799,1.09540779,0.316636413,45.01377523,0.496485135,0.076459249,Chemical
クラレ,2014,1,1,0.324552231,0.001118248,0.003579845,0.003445511,3.2012967,0.691390116,0.041363048,0.589410376,0.286624244,43.95350993,0.548946153,0.07189256,Chemical
クラレ,2015,1,0,0.332466852,0.001191477,0.003692082,0.003583748,3.098742966,0.888681573,0.034452417,0.799370468,0.303253039,50.78619529,0.664778031,0.045598362,Chemical
クラレ,2016,NA,NA,0.328317394,0.001174876,0.003322778,0.003578476,2.828194736,0.967298248,0.036670941,0.666483053,0.282398792,48.21939322,0.646700056,0.083380595,Chemical
トクヤマ,1998,0.219512195,0.329268293,NA,0.005335629,0.014046623,NA,2.632608676,NA,NA,1.78499533,0.681550216,42.75093214,NA,0.027234697,Chemical
トクヤマ,1999,0.160883281,0.205047319,NA,0.005435984,0.013167156,NA,2.422221112,NA,NA,1.615803673,0.686227031,43.71974672,NA,0.016756665,Chemical
トクヤマ,2000,0.241721854,0.268211921,0.075463964,0.005802041,0.011537329,0.076884923,1.988494816,1.665309947,0.036142966,1.598941579,0.688467139,41.73182957,0.115684262,0.024347402,Chemical
トクヤマ,2001,0.295950156,0.22741433,0.121902771,0.005183399,0.007966683,0.042520761,1.536961346,1.325576038,0.031001593,2.670436858,0.665913532,44.84757601,0.115791155,0.029886227,Chemical
トクヤマ,2002,0.314754098,0.357377049,0.188842001,0.004980384,0.006380461,0.026373287,1.281118239,1.24839311,0.035792025,2.170125558,0.662154247,43.36435432,0.124785195,0.007813064,Chemical
トクヤマ,2003,0.238754325,0.325259516,0.247754699,0.003744302,0.004563469,0.015112939,1.21877712,1.301742958,0.034492544,1.718480855,0.643849585,40.00173348,0.146137713,0.006513002,Chemical
トクヤマ,2004,0.238410596,0.245033113,0.270912445,0.002476834,0.002786213,0.009142564,1.124908728,1.695983822,0.039882767,2.628359448,0.590147531,43.30757443,0.14610767,0.033362909,Chemical
トクヤマ,2005,0.207692308,0.176923077,0.2893464,0.001602491,0.001720149,0.005538314,1.073421643,3.08291606,0.037317988,2.799107606,0.55250806,42.79406632,0.15713546,0.044441351,Chemical
トクヤマ,2006,0.261682243,0.23364486,0.249058845,8.14735e-4,8.74554e-4,0.003271254,1.073421643,2.681448064,0.035675503,2.436615959,0.491768277,47.0462203,0.157783228,0.060680748,Chemical
トクヤマ,2007,0.406976744,0.23255814,0.264229585,0.001549693,0.005353023,0.005864947,3.454248582,1.528338155,0.03673949,2.347044302,0.470727368,45.05420445,0.177333962,0.079722806,Chemical
トクヤマ,2008,0.283950617,0.098765432,0.284822073,0.001334521,0.005067612,0.004685457,3.79732546,0.903006396,0.036301483,1.761934946,0.462156634,43.22997825,0.193024625,0.080662415,Chemical
トクヤマ,2009,0.457831325,0.120481928,0.346571016,0.001390247,0.005483772,0.004011435,3.94445779,0.81194308,0.039441992,1.513394495,0.529851615,44.65967894,0.198087037,-0.017930542,Chemical
トクヤマ,2010,0.467532468,0.064935065,0.295754531,0.001130344,0.00436315,0.003821899,3.860019819,0.325459893,0.04326131,0.876370235,0.462106944,41.99430566,0.210009738,0.02840406,Chemical
トクヤマ,2011,0.435483871,0.064516129,0.317260792,0.001136328,0.004303611,0.003581685,3.78729575,0.240625709,0.039577481,1.279434322,0.478296132,46.6080466,0.213602451,0.032756979,Chemical
トクヤマ,2012,0.64,0.04,0.325214855,0.001118505,0.004113746,0.003439281,3.677895817,0.195551282,0.041447548,0.964514198,0.490281954,52.01253178,0.196047184,0.029560179,Chemical
トクヤマ,2013,1,0,0.384411523,0.001324595,0.004764683,0.003445774,3.597086089,0.909752361,0.03895883,0.931778218,0.568023988,58.7749071,0.162918742,-0.054153296,Chemical
トクヤマ,2014,NA,NA,0.371477556,0.001372482,0.004455944,0.003694657,3.246631941,0.846456451,0.030310096,0.962624864,0.589715694,66.83321751,0.187147183,0.022451264,Chemical
トクヤマ,2015,NA,NA,0.541740171,0.001880808,0.005090408,0.00347179,2.706500847,1.174422568,0.033619677,0.887350817,0.69443147,53.06766917,0.2024364,-0.117191769,Chemical
トクヤマ,2016,NA,NA,1.617810899,0.005041486,0.012268871,0.003116239,2.433582496,3.920772556,0.027748563,0.587695013,0.849985798,27.3615211,0.22132426,-0.215526907,Chemical
ニフコ,1998,0.244680851,0.414893617,NA,0.004221524,0.009459538,NA,2.240787281,0.625245347,NA,1.828257888,0.439183009,17.06179159,0.186143405,0.061073101,Chemical
ニフコ,1999,0.214285714,0.205357143,NA,0.003760657,0.007835792,NA,2.083623425,0.918933505,NA,1.672565158,0.448682638,18.38862559,0.227737537,0.060411578,Chemical
ニフコ,2000,0.186363636,0.209090909,0.010127196,0.003439026,0.006879805,0.339583239,2.000509748,0.662967819,0.007244962,1.813854595,0.459767263,16.99622404,0.223042884,0.060585203,Chemical
ニフコ,2001,0.191489362,0.293617021,0.024978713,0.003511697,0.00620416,0.140587576,1.76671297,0.411046312,0.011771456,1.721947874,0.433460608,15.473462,0.267627508,0.102804974,Chemical
ニフコ,2002,0.23,0.5,0.039266945,0.003334604,0.00552661,0.084921407,1.657351226,0.563658274,0.011580668,1.485322359,0.405877762,14.78473742,0.325462786,0.056467824,Chemical
ニフコ,2003,0.194444444,0.407407407,0.056229675,0.003248748,0.004370662,0.057776402,1.345337168,0.541340032,0.01303977,0.858573388,0.395813472,12.47228493,0.340537913,0.07069349,Chemical
ニフコ,2004,0.20754717,0.327044025,0.07281648,0.003324557,0.003612714,0.04565665,1.086675579,0.847107797,0.012367252,0.846364883,0.371213585,10.33824613,0.363397256,0.047956872,Chemical
ニフコ,2005,0.25,0.333333333,0.092959931,0.00345148,0.002748355,0.037128682,0.796282961,1.387565136,0.013756074,1.344581619,0.38183669,10.64850136,0.365716474,0.071163934,Chemical
ニフコ,2006,0.194029851,0.223880597,0.10808019,0.002521474,0.001887554,0.023329663,0.748591247,1.704904162,0.012111779,1.179286694,0.397740634,9.759913793,0.395408225,0.095394439,Chemical
ニフコ,2007,0.304761905,0.114285714,0.11069417,0.001651443,0.001124002,0.014918967,0.680617957,1.161113406,0.013582807,0.919615912,0.329855743,9.310892745,0.4082059,0.131297427,Chemical
ニフコ,2008,0.321428571,0.19047619,0.119328506,0.001143775,7.09287e-4,0.009585096,0.620127969,NA,0.014246784,0.698491084,0.316019909,8.909766881,0.418903464,0.12393285,Chemical
ニフコ,2009,0.209677419,0.112903226,0.140922855,8.3889e-4,5.20219e-4,0.005952828,0.620127969,0.811906171,0.013957133,1.098491084,0.335116818,8.532243248,0.419595488,0.049081505,Chemical
ニフコ,2010,0.450980392,0.039215686,0.136724959,0.002416815,0.007134915,0.017676472,2.952197445,0.924920482,0.012650574,0.98175583,0.35544958,8.080339046,0.396995489,0.060226624,Chemical
ニフコ,2011,0.2,0,0.140746761,0.00204184,0.006198807,0.014507192,3.035892084,0.866665022,0.013808947,1.183676269,0.363376979,8.049779137,0.459153715,0.091475474,Chemical
ニフコ,2012,0,0,0.149076711,0.002229759,0.007164261,0.014957122,3.213021215,0.785814469,0.013256836,1.16776406,0.397987931,8.563305888,0.472460938,0.075382175,Chemical
ニフコ,2013,0,0,0.145956671,0.002359471,0.007411031,0.016165558,3.140971652,1.268720776,0.01269333,0.974759945,0.499152566,8.688056147,0.52338546,0.059611243,Chemical
ニフコ,2014,NA,NA,0.138061654,0.002238253,0.006471527,0.016211985,2.891328987,1.685382995,0.013458122,1.254183813,0.506549099,10.39121779,0.609736076,0.076867786,Chemical
ニフコ,2015,NA,NA,0.133101351,0.00193726,0.004967359,0.014554777,2.564115178,2.22956745,0.012124304,1.806447188,0.517188958,11.7532029,0.670784997,0.072063428,Chemical
ニフコ,2016,NA,NA,0.147996122,0.002041291,0.00485824,0.013792866,2.379984316,2.419219033,0.011709443,1.593415638,0.554035931,11.07326976,0.717317254,0.093294367,Chemical
ミルボン,2001,0.5,0.333333333,0.19395516,0.034933615,0.058171325,0.180111813,1.665196244,3.623857984,0.032337323,1.285217391,0.33237794,24,0.032971388,0.160506029,Chemical
ミルボン,2002,0.090909091,0.318181818,0.205189172,0.030922495,0.046370135,0.150702371,1.499559954,3.37035139,0.030576331000000002,1.352173913,0.335813324,26.42532468,0.04252823,0.225566452,Chemical
ミルボン,2003,0.5,0.5,0.208021892,0.029996245,0.037804127,0.144197541,1.26029529,2.98601747,0.032838101,1.476521739,0.284077804,25.88125,0.043668425,0.225647728,Chemical
ミルボン,2004,0.625,0.5,0.211881974,0.025680841,0.028726989,0.121203519,1.118615595,2.452648277,0.034590784,0.94,0.25092809,25.64872521,0.040138363,0.215591915,Chemical
ミルボン,2005,0.40625,0.21875,0.207636964,0.024604224,0.020348608,0.118496356,0.827037181,2.888852313,0.034088214,1.624,0.233723765,31.44808743,0.040135167,0.217848861,Chemical
ミルボン,2006,0.333333333,0.277777778,0.214062283,0.018939571,0.013844708,0.088476918,0.730993741,2.832279425,0.032519864,1.2915,0.235015773,34.40102828,0.035471056,0.200206679,Chemical
ミルボン,2007,0.25,0.083333333,0.228053774,0.017434197,0.010184432,0.076447747,0.584164113,2.071978359,0.031752189,1.2875,0.219033314,31.63260341,0.036019062,0.13652701,Chemical
ミルボン,2008,0.470588235,0.029411765,0.235685867,0.01440256,0.006598654,0.061109136,0.458158399,1.72987908,0.035737214,1.1955,0.201182829,29.7239819,0.035844211,0.174212297,Chemical
ミルボン,2009,0.580645161,0.064516129,0.248738331,0.011094366,0.004335936,0.044602557,0.390823252,1.185442994,0.039918703,1.2035,0.181742249,28.68240343,NA,0.146612293,Chemical
ミルボン,2010,0.625,0.0625,0.262484444,0.007403195,0.002780046,0.02820432,0.375519693,1.138890633,0.042432528,1.027,0.150794032,26.08350305,NA,0.153912585,Chemical
ミルボン,2011,0.5,0,0.268551096,0.004930519,0.001750272,0.018359707,0.35498745,1.254266977,0.042385267,0.855,0.15638279,23.85657371,0.058559875,0.174707861,Chemical
ミルボン,2012,1,0,0.271941031,0.003120265,0.001107655,0.011474049,0.35498745,1.362895124,0.039886691,1.0035,0.139210549,22.84469697,0.064147668,0.151466486,Chemical
ミルボン,2013,1,1,0.270822801,4.49018e-4,0.001826362,0.001657978,4.067457281,NA,0.040664736,1.2425,0.158466624,22.64467005,0.078979395,0.153793549,Chemical
ミルボン,2014,NA,NA,0.274615959,5.74347e-4,0.002442988,0.002091455,4.253506078,1.702683585,0.046301435,1.4255,0.143364845,21.31124807,0.103583604,0.149015566,Chemical
ミルボン,2015,NA,NA,0.27552408,3.95051e-4,0.001593056,0.001433815,4.032535802,2.616705302,0.044343792,1.747,0.148900938,22.97443182,0.127698433,0.14334881,Chemical
ミルボン,2016,NA,NA,0.285693214,5.16539e-4,0.001331505,0.001808021,2.577741822,2.224497704,0.042287362,1.781,0.146005425,24.55741935,0.132045033,0.136419677,Chemical
ラサ工業,1998,0.0625,0.8125,0.037729407,0.001401037,0.004119903,0.037133813,2.940609945,2.380832298,0.015942865,0.6543091,0.689524745,33.35809807,0.057026403,0.033157313,Chemical
ラサ工業,1999,0,0.333333333,0.069626901,0.001139256,0.003012875,0.016362299,2.644597981,1.933053219,0.016744809,0.630717381,0.683876052,32.59467456,0.075184193,0.012710033,Chemical
ラサ工業,2000,NA,NA,0.10527636,0.001408904,0.00317029,0.013382912,2.250181259,2.26868334,0.013718695,0.634670947,0.728779248,29.70550576,0.069272266,0.019372911,Chemical
ラサ工業,2001,0,0.375,0.141225132,0.001821883,0.005890584,0.012900558,3.233239546,1.714032856,0.016529799,0.572070626,0.752308327,29.58638083,0.103584394,0.013013535,Chemical
ラサ工業,2002,0,0.166666667,0.203772478,0.002379603,0.007357255,0.011677746,3.091799117,2.106302656,0.020508488,0.424811427,0.764482519,28.42067308,0.110530763,-0.017828201,Chemical
ラサ工業,2003,0.4,0.6,0.242364699,0.002409179,0.006354369,0.009940305,2.637566169,2.510751819,0.026337761,0.465735837,0.723802792,27.91656442,0.151195446,0.0284755,Chemical
ラサ工業,2004,0,0,0.270031669,0.003333557,0.008648318,0.01234506,2.594321287,2.816213026,0.023784483,0.576311988,0.701156999,30.51871658,0.13461694,0.021268745,Chemical
ラサ工業,2005,0,1,0.264437455,0.003657271,0.009983871,0.013830382,2.729869145,4.018927376,0.020211961,0.816883325,0.691320219,32.23862069,0.185314156,0.053553492,Chemical
ラサ工業,2006,NA,NA,0.270820677,0.004167011,0.009803156,0.015386608,2.352562768,3.481502513,0.019659936,0.904670197,0.685538768,36.02773925,0.181455898,0.033040013,Chemical
ラサ工業,2007,NA,NA,0.210503593,0.003567695,0.006071828,0.016948381,1.701891039,1.171751008,0.017942433,0.446879071,0.638179977,35.60602094,0.201263198,0.040674465,Chemical
ラサ工業,2008,NA,NA,0.230912928,0.004344407,0.004738714,0.018814048,1.090762059,1.027303714,0.019289127,0.400805401,0.633028457,37.34883721,0.221704774,0.017375894,Chemical
ラサ工業,2009,NA,NA,0.414528226,0.007530865,0.006859567,0.018167316,0.910860363,1.64511833,0.016146527,0.365865214,0.757104845,31.70654912,0.240307435,-0.127249961,Chemical
ラサ工業,2010,NA,NA,1.040605032,0.015770243,0.012640835,0.015154879,0.80156246,4.7305097,0.021042714,0.335662679,0.864821918,24.6535533,0.175206389,-0.156219178,Chemical
ラサ工業,2011,NA,NA,0.919435878,0.010771509,0.007563146,0.011715346,0.702143548,4.088914176,0.015972017,0.227999526,0.832156839,32.44402985,0.178094315,0.024783453,Chemical
ラサ工業,2012,NA,NA,0.678811812,0.005783917,0.003827404,0.008520648,0.661732143,2.339286237,0.01568534,0.243515338,0.781034537,32.93307087,0.106841478,0.03642603,Chemical
ラサ工業,2013,NA,NA,0.61234886,0.003698069,0.002347353,0.006039154,0.634750856,3.070045103,0.018459317,0.24185716,0.750485149,31.68615984,0.118490255,0.014636713,Chemical
ラサ工業,2014,NA,NA,0.599366822,0.002431726,0.00154354,0.004057159,0.634750856,2.298472926,0.018959787,0.236053535,0.747180604,31,0.144468892,0.016315122,Chemical
ラサ工業,2015,NA,NA,0.522477239,0.001431766,9.08814e-4,0.002740341,0.634750856,1.696456584,0.017038934,0.236053535,0.718644284,28.53107345,0.201995233,0.023584605,Chemical
ラサ工業,2016,NA,NA,0.518746803,0.001391482,0.007103034,0.002682392,5.104653306,1.903734543,0.012359231,0.243396897,0.693272881,29.40225564,0.224539578,0.027976944,Chemical
上村工業,1998,0.074074074,0.148148148,0.094474153,0.001291374,0.004964327,0.01366907,3.844221463,2.403492713,0.026880277,0.948391922,0.664633939,17.96219282,0.241176646,0.093039894,Chemical
上村工業,1999,0.025641026,0.358974359,0.16890706,8.6182e-4,0.00295823,0.005102332,3.43253841,2.155893678,0.032630425,1.015706806,0.58455266,17.76425856,0.211936545,0.102270995,Chemical
上村工業,2000,0.083333333,0.375,0.233647172,7.7571e-4,0.002471456,0.003320004,3.186058205,1.311130565,0.041014996,1.090501122,0.53361182,15.40097403,0.264664829,0.078363116,Chemical
上村工業,2001,0.172413793,0.310344828,0.284568014,8.64211e-4,0.0020711,0.003036922,2.396521065,0.821788811,0.040308748,1.316379955,0.514887329,15.76298701,0.311732419,0.089139269,Chemical
上村工業,2002,0.25,0.25,0.332855191,9.23359e-4,0.001849368,0.002774057,2.00286971,0.735123593,0.050457148,1.135377711,0.448889602,16.40166667,0.356404341,0.080253347,Chemical
上村工業,2003,0.259259259,0.407407407,0.366541706,7.89967e-4,0.001308482,0.00215519,1.656375905,1.449954906,0.043958804,0.795063575,0.418100373,11.92518703,0.419815552,0.10251328,Chemical
上村工業,2004,0.111111111,0.222222222,0.365225053,5.22124e-4,9.44263e-4,0.001429596,1.808502837,1.340956987,0.044161474,1.531039641,0.417294138,13.45703611,0.393660255,0.130135809,Chemical
上村工業,2005,0.222222222,0.185185185,0.356924815,3.52764e-4,5.46567e-4,9.88343e-4,1.549384135,2.616143756,0.042006596,1.488406881,0.398604581,13.33412604,0.397616155,0.141149704,Chemical
上村工業,2006,0.166666667,0.222222222,0.337032529,2.4415e-4,3.12208e-4,7.24412e-4,1.278753101,2.832649127,0.037624912,2.605833957,0.412407208,17.41824249,0.439613405,0.153090555,Chemical
上村工業,2007,0.35483871,0.193548387,0.314738031,2.49234e-4,1.79654e-4,7.91879e-4,0.720823058,1.164682094,0.028266497,1.934928945,0.417484708,14.38448567,0.430843681,0.162003658,Chemical
上村工業,2008,0.214285714,0.214285714,0.306122922,1.83145e-4,1.0867e-4,5.98273e-4,0.593355879,0.011444463,0.027362359,1.588323353,0.355956022,13.57311321,0.46306605,0.147453914,Chemical
上村工業,2009,0.130434783,0.217391304,0.334321476,1.59612e-4,7.51e-5,4.7742e-4,0.470467534,0.536262982,0.035334303,1.233532934,0.260414648,12.318445,0.530522283,0.121027902,Chemical
上村工業,2010,0,0,0.338607416,1.38029e-4,1.14395e-4,4.07639e-4,0.828769474,0.486311526,0.039899709,1.434131737,0.268774054,12.62629758,0.513372129,0.098422979,Chemical
上村工業,2011,0.333333333,0.333333333,0.326197372,8.68e-5,7.19e-5,2.66024e-4,0.828769474,0.136167772,0.033934385,1.348802395,0.265976085,11.14,0.52722264,0.12257457,Chemical
上村工業,2012,NA,NA,0.338426272,1.18148e-4,1.38005e-4,3.49109e-4,1.168071967,0.094573217,0.03648511,1.378742515,0.269555406,11.63829787,0.555050543,0.096621607,Chemical
上村工業,2013,NA,NA,0.315132143,1.23455e-4,1.08947e-4,3.91756e-4,0.882483981,0.466059952,0.043582641,1.05988024,0.271070528,14.11261981,0.568737634,0.098112631,Chemical
